SuperCategory,SubCategory,Level,guideword,Can-do statement,Example
ADJECTIVES,combining,C2,USE: FOCUS,"Can use a list of adjectives in ellipted clauses before and after a noun, to give focus. ► focus","Adventurous, curious, and determined, she embarked on a journey around the world.
Intelligent, resourceful, and brave, he solved the complex puzzle with ease.
Energetic, enthusiastic, and passionate, the team worked tirelessly to achieve their goals.
Playful, mischievous, and clever, the kitten kept the family entertained for hours.
Generous, kind-hearted, and compassionate, she donated to numerous charities.
Creative, innovative, and visionary, the artist's work was highly acclaimed.
Patient, diligent, and meticulous, the researcher uncovered groundbreaking findings.
Confident, articulate, and persuasive, the speaker captivated the audience.
Loyal, trustworthy, and dependable, he was the go-to person for advice.
Optimistic, resilient, and tenacious, she overcame every obstacle in her path."
ADJECTIVES,comparatives,A2,FORM: + -ER,Can form comparative adjectives from adjectives of one syllable by adding '-er'.,"The cat is faster than the dog.
This chair is taller than that one.
The apple is sweeter than the orange.
She is happier than her sister.
The river is deeper than the pond.
The car is newer than the bike.
The cake is bigger than the cookie.
The sun is brighter than the moon."
ADJECTIVES,comparatives,A2,FORM: + -IER,Can form comparative adjectives with adjectives of two syllables ending in '-y' by changing the 'y' to an 'I' and adding '-er'.,"The dog was happier after it found its favorite toy.
The baby was sleepier after a long day at the park.
The flowers were prettier with the morning dew on them.
The cake was sweeter than the one we had last week.
The weather was cooler after the rain stopped.
The book was funnier than the movie version.
The lake was quieter in the early morning.
The house was tidier after the big cleaning."
ADJECTIVES,comparatives,A2,FORM: BEFORE NOUNS,"Can use comparative adjectives attributively, before nouns. ","I bought a bigger house last year.
She has a more expensive car than me.
He bought a newer phone yesterday.
They live in a smaller apartment now.
We saw a taller building downtown.
She wore a prettier dress to the party.
He has a faster computer at work.
They bought a larger TV for the living room.
She bought a more comfortable chair for her office.
He has a longer commute than I do."
ADJECTIVES,comparatives,A2,FORM: COMPLEMENT OF 'BE' ,Can use comparative adjectives as a complement of 'be'.,"The weather is nicer today than yesterday.
She is taller than her brother.
This book is more interesting than the last one.
The blue dress is prettier than the red one.
He is happier now than he was before.
The new car is faster than the old one.
The green apple is sweeter than the red one.
The movie is more exciting than the book.
The yellow house is bigger than the blue one.
The chocolate cake is tastier than the vanilla one."
ADJECTIVES,comparatives,A2,FORM: DOUBLE CONSONANT + '-ER',"Can form comparative adjectives with adjectives of one syllable with a short vowel, by doubling the final consonant and adding '-er'","The rooms are all very beautiful, but I prefer my room because it is bigger.
I bought lots of T-shirts because the weather is getting hotter.
The first apple is sweeter than the second one.
She ran faster than her brother in the race.
The baby is sleeping in a darker room.
The old car is slower than the new one.
The first cake is thicker than the second one.
The younger sister is taller than the older one.
The first toy is cheaper than the second one.
The first book is thicker than the second one."
ADJECTIVES,comparatives,A2,FORM: ENDING IN '-E' + '-R' ,"Can form comparative adjectives with adjectives of one syllable ending in 'e', by adding '-r'.","I think it will be nicer.
You can come by boat, but I prefer to come by aeroplane because it is safer.
The blue car is larger than the red one.
She is braver than her sister.
This apple is sweeter than that one.
The green shirt is cheaper than the blue one.
He is taller than his brother.
The yellow house is smaller than the white one.
She is kinder than her friend.
The black cat is faster than the white one."
ADJECTIVES,comparatives,A2,FORM: IRREGULAR,Can form irregular comparative adjectives.,"My car is older than yours.
She is happier today than yesterday.
This book is more interesting than that one.
He is taller than his brother.
The weather is worse than it was last week.
Her dress is prettier than mine.
This task is harder than the last one.
His explanation is clearer than hers.
The new restaurant is better than the old one.
The movie was more exciting than I expected."
ADJECTIVES,comparatives,A2,FORM: WITH 'MORE',Can form a range of comparative adjective phrases using 'more' + longer adjectives (usually three or more syllables). ,"She is more beautiful than her sister.
The movie was more interesting than the book.
He was more intelligent than his classmates.
The new phone is more advanced than the old one.
This restaurant is more popular than the one downtown.
The new software is more efficient than the previous version.
Her dress is more elegant than mine.
The new car is more comfortable than the old one.
The concert was more exciting than I expected.
The new school is more modern than the old one."
ADJECTIVES,comparatives,A2,FORM: WITH 'THAN',Can use a comparative adjective with 'than' to compare two nouns or noun phrases.► comparative clauses,"My new car is faster than my old car.
Her house is bigger than mine.
This movie is more exciting than the last one.
The red dress is prettier than the blue one.
His English is better than hers.
This book is more difficult than the one I read last week.
The chocolate cake is tastier than the vanilla one.
The park near my house is quieter than the one downtown.
Her garden is more colorful than his.
The new laptop is lighter than the old one."
ADJECTIVES,comparatives,B1,FORM/USE: WITH '(SO) MUCH' ,"Can use '(so) much' to modify and intensify comparative adjectives used predicatively after a verb, usually 'be'. ","The weather today is so much nicer than yesterday.
The new car is much faster than the old one.
Her cooking is much tastier than mine.
The new phone is so much lighter than the old one.
The movie was much more interesting than the book.
The new restaurant is so much more expensive than the old one.
The new apartment is much quieter than the old one.
The new shoes are so much more comfortable than the old ones."
ADJECTIVES,comparatives,B1,FORM/USE: WITH 'A (LITTLE) BIT' ,"Can use 'a (little) bit' to modify comparative adjectives used predicatively after a verb, usually 'be'.","He's a bit taller than his brother.
The weather is a little bit colder today.
This book is a bit more interesting than the last one.
She's a little bit smarter than her classmates.
The movie was a bit scarier than I expected.
His car is a little bit faster than mine.
The test was a bit harder than usual.
She's a little bit more patient than he is.
The restaurant is a bit more expensive than the one down the street.
The new model is a little bit better than the previous one."
ADJECTIVES,comparatives,B1,FORM/USE: WITH 'AND',"Can use 'and' to repeat a comparative adjective to indicate change over time, usually after 'become' or 'get'.  ► adjectives: comparatives","I noticed the weather getting colder and colder.
The situation became more and more complicated.
As the years passed, she became happier and happier.
The noise from the construction site got louder and louder.
The pile of work on my desk grew bigger and bigger.
The traffic during rush hour became heavier and heavier.
The cost of living is rising higher and higher.
Her excitement for the trip grew stronger and stronger.
The distance between us seemed to get farther and farther.
The list of tasks to complete kept getting longer and longer."
ADJECTIVES,comparatives,B1,FORM/USE: WITH 'EVEN',"Can use 'even' to modify and intensify comparative adjectives used predicatively after a verb, usually 'be' and 'get'.","The movie last night was good, but the one tonight is even better.
After the rain stopped, the sky got even bluer.
Her new book is interesting, but the last one was even more exciting.
The second half of the game was intense, but the final moments were even more thrilling.
My headache was bad, but it got even worse after the meeting.
His cooking skills improved, and now his dishes are even tastier.
The second season of the show was good, but the third season was even better.
The weather was cold, but it became even colder overnight.
The first day of the trip was fun, but the second day was even more enjoyable.
The new model of the car is nice, but the latest one is even nicer."
ADJECTIVES,comparatives,B2,FORM/USE: WITH 'A LOT' ,"Can use 'a lot' to modify and intensify comparative adjectives used predicatively after a verb, usually 'be'. ","The weather today is a lot warmer than yesterday.
Her new apartment is a lot bigger than her old one.
This movie is a lot more interesting than the last one I watched.
The new model is a lot faster than the previous version.
Traveling by train is a lot more comfortable than driving.
His explanation was a lot clearer than hers.
The new software is a lot more user-friendly than the old one.
Her performance was a lot better than expected.
The final product is a lot more polished than the prototype."
ADJECTIVES,comparatives,B2,FORM/USE: WITH 'MUCH' + NOUN,Can use 'much' to modify and intensify comparative adjectives used attributively before countable and uncountable nouns. ,"I think the new model has much better features than the old one.
The weather today is much warmer than it was yesterday.
She is a much more talented singer than I am.
This restaurant offers much tastier food than the one we went to last week.
The updated software has much more functionality than the previous version.
His new car is much faster than his old one.
The revised plan is much more efficient than the original.
This book is much more interesting than the one I read last month.
The new apartment is much larger than our old one.
The latest version of the game has much better graphics than the earlier editions."
ADJECTIVES,comparatives,B2,FORM/USE: WITH 'SLIGHTLY',Can use 'slightly' to modify comparative adjectives to a small degree.,"I found that the blue dress was slightly more expensive than the red one.
The new version of the software is slightly faster than the previous one.
The weather today is slightly warmer compared to yesterday.
The green apple is slightly sweeter than the red one.
The movie sequel was slightly more interesting than the original.
The second floor is slightly quieter than the first floor.
The new model car is slightly more fuel-efficient than the old one.
The book was slightly more challenging than I expected.
The second option is slightly more convenient than the first one."
ADJECTIVES,comparatives,C2,FORM/USE: WITH 'NO' OR 'NOT ANY' ,Can use 'no' / 'not any' with comparative adjectives to limit the scale of comparison. ► comparative clauses,"She felt no better than she had before the treatment.
The new model is not any faster than the old one.
He was no taller than his younger brother.
The situation is not any worse than it was last year.
The book is no more interesting than the last one I read.
They were not any more prepared than we were.
The weather is no colder than it was in January.
The results were not any more impressive than expected.
The quality of the product is no better than what we had before.
The journey was not any longer than we anticipated."
ADJECTIVES,comparatives,C2,FORM/USE: WITH 'NOT THAT MUCH',Can use 'not that much' to modify comparative adjectives to a small degree. ► comparative clauses,"Although he is not that much taller than his brother, he still has a significant height advantage.
The new model is not that much more expensive than the previous one, so it's worth the upgrade.
She is not that much better at singing than her sister, but she practices more often.
The revised version is not that much more user-friendly than the original, so some users might not notice the difference.
He is not that much faster than the other runners, but his consistency gives him an edge.
The updated software is not that much more efficient than the old version, but it does have some new features.
She is not that much more experienced than her colleagues, but her insights are valuable.
The new car is not that much more fuel-efficient than the old one, but it does have better safety features.
He is not that much more knowledgeable than the rest of the team, but his enthusiasm makes up for it."
ADJECTIVES,modifying,A1,FORM: WITH 'VERY' ,Can use 'very' with a limited range of common gradable adjectives. ,"The weather is very hot today.
She has a very big house.
He is very tall.
The park is very beautiful.
The movie was very interesting.
The food is very delicious.
The book is very long.
The car is very fast."
ADJECTIVES,modifying,A2,FORM: WITH DEGREE ADVERBS,"Can use adverbs of degree ('really', 'so', 'quite') with an increasing range of common gradable adjectives.","It was sunny and really hot every day!
I'm so happy because we can have a party for my birthday together!
They are quite expensive.
The movie was really interesting.
She is so beautiful.
The book was quite boring.
He was really tired after the long journey.
The food was so delicious.
The weather is quite cold today.
She is really smart."
ADJECTIVES,modifying,A2,FORM: WITH PREPOSITIONAL PHRASE,Can form adjective phrases with a very limited range of adjectives + a prepositional phrase. ,"The book is interesting for children.
The movie was boring for teenagers.
The cake is delicious for everyone.
The park is beautiful for walking.
The game is fun for all ages.
The food is spicy for some people.
The song is catchy for young listeners.
The dress is pretty for a party."
ADJECTIVES,modifying,A2,FORM: WITH 'TOO',Can use 'too' with common gradable adjectives. ,"She is too tired to go out tonight.
The coffee was too hot to drink.
The movie was too long for my taste.
The room was too dark to read in.
The shoes were too tight for me.
The music was too loud for the baby to sleep.
The cake was too sweet for my liking.
The car was too big to fit in the garage."
ADJECTIVES,modifying,A2,FORM: WITH 'TOO' + PREPOSITIONAL PHRASE,Can use 'too' + adjective + prepositional phrase,"She was too tired after the long trip.
The movie was too boring for me.
The book was too difficult for her.
The dress was too big for the little girl.
The food was too spicy for my taste.
The room was too cold for him.
The shoes were too tight for her feet.
The test was too easy for him.
The music was too loud for the baby."
ADJECTIVES,modifying,B1,FORM: ADJECTIVE PHRASE + NOUN,"Can use adjective phrases attributively, before a noun.","the very important meeting is at 10.15 am.
really good friends are hard to find.
a very interesting book caught my eye.
the extremely cold weather made us stay indoors.
a really nice restaurant offered us a discount.
the very old building needs renovation.
a highly skilled worker fixed the problem quickly.
the extremely busy schedule left no time for rest.
a really big dog scared the little children.
the very happy couple celebrated their anniversary."
ADJECTIVES,modifying,B1,FORM: WITH 'ENOUGH' ,Can use 'enough' to modify adjectives. ,"The weather was warm enough for us to have a picnic.
She is smart enough to solve the problem on her own.
The coffee was hot enough to burn my tongue.
The car is fast enough to keep up with traffic.
The book is interesting enough to keep me engaged.
The room is quiet enough for me to concentrate.
The food is spicy enough to add flavor without being overwhelming.
The dress is long enough to cover my knees.
The movie is funny enough to make me laugh out loud."
ADJECTIVES,modifying,B1,FORM: WITH 'QUITE A',Can form adjective phrases with 'quite a' + adjective.,"I have been thinking about your last letter for quite a long time and I came to the following conclusion.
This is quite a difficult situation you have.
I personally think going to a large school is quite a good idea.
She is quite a talented artist.
It was quite a hot day yesterday.
He has quite a busy schedule this week.
That was quite a funny joke.
She wore quite a beautiful dress to the party.
It was quite a challenging project.
They live in quite a nice neighborhood."
ADJECTIVES,modifying,B1,FORM: WITH 'TOO' + 'TO'-INFINITIVE ,Can use 'too' before adjectives followed by 'to'-infinitive.,"She was too tired to finish her homework.
The box was too heavy to lift by myself.
The movie was too scary to watch alone.
The water was too cold to swim in.
The book was too difficult to read in one sitting.
The restaurant was too crowded to find a seat.
The car was too expensive to buy outright.
The noise was too loud to concentrate on work.
The cake was too sweet to eat more than one piece."
ADJECTIVES,modifying,B2,FORM: WITH 'ENOUGH' + 'TO'-INFINITIVE ,Can use 'enough' after adjectives followed by 'to'-infinitive ,"I was strong enough to lift the heavy box by myself.
She was smart enough to solve the difficult problem quickly.
They were brave enough to face their fears head-on.
He was tall enough to reach the top shelf without a ladder.
She was patient enough to wait for the perfect moment.
They were kind enough to offer their help to those in need.
He was lucky enough to find a job right after graduation.
She was creative enough to come up with a unique solution.
They were careful enough to avoid any accidents during the trip.
He was generous enough to share his lunch with his friends."
ADJECTIVES,modifying,B2,FORM: WITH 'RATHER A' ,"Can form adjective phrases with 'rather a' + adjective, often in formal contexts. ","The opera was rather a sophisticated performance, not for the faint-hearted.
She was rather a shy person, rarely speaking in large groups.
The lecture was rather a complex topic, requiring careful attention.
His explanation was rather a convoluted one, leaving many confused.
The hotel was rather a luxurious stay, with all the amenities one could wish for.
The assignment was rather a challenging task, pushing us to our limits.
The movie was rather a disappointing experience, not living up to the hype.
The garden was rather a peaceful place, perfect for a quiet afternoon.
The debate was rather a heated discussion, with strong opinions on both sides.
The journey was rather a long one, taking several hours by train."
ADJECTIVES,modifying,C1,FORM: WITH EXTREME ADVERBS,"Can modify gradable adjectives with extreme adverbs of degree ('absolutely', 'extremely', 'incredibly', 'totally') to intensify their meaning. ","She was absolutely exhausted after the long hike.
The movie was incredibly entertaining, and I totally recommend it.
His performance was extremely impressive, and everyone was in awe.
The weather was incredibly cold, making it totally unbearable to stay outside.
The book was absolutely fascinating, and I couldn't put it down.
The results were extremely disappointing, and I felt totally let down.
The food was incredibly delicious, and I totally enjoyed every bite.
The situation was absolutely chaotic, and I felt totally overwhelmed.
The concert was extremely enjoyable, and I had an incredibly great time.
The project was absolutely successful, and we totally met our goals."
ADJECTIVES,modifying,C2,FORM: COMPARISON ,Can use adjectives in 'as … as' and 'so … that' in comparative structures. ► comparative clauses,"The weather was as cold as the Arctic, making it nearly impossible to venture outside.
She was so talented that she could play any instrument with ease.
The coffee was as strong as I needed it to be, giving me the energy boost I craved.
His dedication was so intense that he often worked 18-hour days without rest.
The book was as captivating as the reviews had promised, keeping me up all night.
The hike was so challenging that it took us twice as long as we had anticipated.
Her kindness was as genuine as her smile, making everyone feel at ease around her.
The storm was so fierce that it knocked down trees and power lines across the city.
The movie was as thrilling as the trailer suggested, leaving the audience on the edge of their seats.
The dessert was so sweet that it made my teeth ache just thinking about it."
ADJECTIVES,position,A1,FORM: ATTRIBUTIVE (WITH NOUNS),"Can use a limited range of adjectives attributively, before a noun. ► noun phrases","I have a red car.
She bought a new dress.
The big dog is friendly.
He lives in a small village.
We saw a beautiful sunset.
The old house is very quiet.
She has a cute kitten.
The tall tree is in our garden."
ADJECTIVES,position,A1,"FORM: PREDICATIVE, WITH 'BE'","Can use a limited range of adjectives predicatively, after 'be'.","My car is fast.
The weather is cold.
Her house is small.
The park is green.
The book is interesting.
The movie is funny."
ADJECTIVES,position,A2,FORM/USE: LIMITING ADJECTIVES,"Can use a limited range of adjectives ('main', 'only') that limit the noun that they go before.","The main reason for the delay was the traffic.
The only option left was to cancel the trip.
The main problem was the lack of communication.
The only solution was to consult a specialist.
The main advantage was the cost-effectiveness.
The only disadvantage was the limited time.
The main focus was on improving the quality.
The only concern was the safety issue.
The main objective was to complete the project.
The only challenge was the tight deadline."
ADJECTIVES,position,A2,"FORM: PREDICATIVE, WITH 'BE'","Can use an increasing range of adjectives predicatively, after 'be'.","The weather is nice today.
She is very intelligent.
The cake is delicious.
He is always kind.
The movie was boring.
The park is beautiful.
They are happy together.
The book is interesting.
The coffee is hot.
The flowers are pretty."
ADJECTIVES,position,A2,"FORM: PREDICATIVE, WITH LINKING VERBS","Can use a limited range of adjectives predicatively, after linking verbs 'look' and 'feel'.","The sky looks beautiful today.
She feels happy after her vacation.
The cake looks delicious.
He feels tired after a long day at work.
The flowers look pretty in the garden.
I feel excited about the upcoming trip.
The dress looks elegant on her.
She feels sad about the news.
The room looks clean and tidy.
I feel cold without my jacket."
ADJECTIVES,position,B1,FORM: ADJECTIVES WITH PREFIX 'A-',"Can use adjectives with the prefix a- ('asleep', 'awake', 'alive', 'alone') predicatively only, after linking verbs. ","She felt quite lonely because she was alone at home.
The baby was asleep when we arrived at the party.
He was awake all night, thinking about his decision.
The old tree in the garden was still alive after all these years.
The dog was asleep on the couch when we got home.
She was awake when the alarm clock went off.
The cat was alive and well after the accident.
He was alone in the office when the power went out.
The fish in the tank was still alive after a week without food.
She was awake all night, unable to sleep."
ADJECTIVES,position,B1,FORM: ATTRIBUTIVE (WITH NOUNS),"Can use an increasing range of adjectives attributively, before a noun.
► noun phrases","The main character in the programme is a visiting journalist.
Dear Fiona, I see you are in a complicated situation, aren't you?
The first of them had long dark hair and the second one had short fair curly hair.
In the evening, we used to go to a famous restaurant where you can eat delicious local food.
I decided to see the Zorro's Mask because it's an amusing and entertaining action film and love-story.
The visiting journalist is the main character in the programme.
The complicated situation is causing Fiona a lot of stress.
The long dark hair was a striking feature of the first person.
The famous restaurant serves delicious local food.
The amusing and entertaining action film and love-story is called Zorro's Mask."
ADJECTIVES,position,B1,FORM: WITH 'MAKE' AS OBJECT COMPLEMENT,Can use adjectives as object complement after 'make'.,"The new policy makes everyone frustrated.
Her jokes always make me happy.
The teacher's explanation made the concept clear.
His rude behavior made her upset.
The surprise party made everyone excited.
The movie made the audience sad.
His hard work made him successful.
The news made her nervous.
The gift made her feel special.
The exercise made the muscles sore."
ADJECTIVES,position,B1,FORM: WITH PRONOUN,"Can use an adjective or adjective phrase after pronouns like 'something', 'nothing', 'somewhere', 'nowhere'.","I want to go somewhere quiet to read my book.
There is nothing important to worry about.
She looked for something beautiful to wear to the party.
We need to find somewhere safe to hide.
There is nothing wrong with trying new things.
He wanted to go somewhere exciting for his vacation.
She couldn't find anything useful in the box.
I need to find somewhere comfortable to sit.
There is nothing good on the menu tonight.
He looked for something interesting to do on the weekend."
ADJECTIVES,position,B2,FORM/USE: DEGREE ADJECTIVES BEFORE NOUNS,"Can use a limited range of degree adjectives ('real', 'absolute', 'complete') before a noun to express intensity.","The weather today is a complete disaster.
She had a real talent for drawing.
This is an absolute must-see movie.
His complete dedication to the project impressed everyone.
The room was in absolute chaos after the party.
Her real passion for music was evident in her performance.
The team's complete focus on the game led to their victory.
It was an absolute pleasure to meet you.
The complete silence of the forest was eerie.
His real concern for the environment was inspiring."
ADJECTIVES,position,B2,"FORM: ATTRIBUTIVE ONLY, TIME ADJECTIVES","Can use the adjectives 'present', 'future', 'former' before a noun.","I think we all are very concerned about the present situation.
We would like to hear you talk about your novels, your work in general and about your future plans.
In the big hall, in former times, lots of parties took place.
The present government is facing numerous challenges.
Her future goals are to travel and learn new languages.
The former president made significant contributions to the country.
The present course of action needs to be reconsidered.
His future projects include writing a book and starting a business.
The former employee was known for her dedication and hard work.
The present economic conditions are affecting many people's livelihoods."
ADJECTIVES,position,C1,FORM: PAST PARTICPLE AS ADJECTIVE,"Can use the '–ed' form of a verb as an adjective, after a noun.","The frightened child clung to his mother's arm.
The broken vase lay shattered on the floor.
The excited crowd cheered loudly for their team.
The bored student doodled in his notebook.
The surprised look on her face was priceless.
The frozen lake glistened in the sunlight.
The frightened animals huddled together for warmth.
The lost keys were finally found in the car.
The exhausted runner collapsed at the finish line.
The disappointed fans left the stadium early."
ADJECTIVES,position,C2,FORM/USE: DEGREE ADJECTIVES BEFORE NOUNS,Can use an increasing range of adjectives before a noun to express intensity.,"The major problem concerns the upcoming exam.
It is located in the very heart of Pisa, in a magnificent ancient building.
The minor issue involves the broken elevator.
She wore a stunning red dress to the party.
He delivered an exceptional speech at the conference.
The tiny kitten was incredibly adorable.
The massive storm caused extensive damage to the city.
She has a unique perspective on the situation.
The ancient ruins are a major tourist attraction.
The highly skilled surgeon performed the operation flawlessly."
ADJECTIVES,superlatives,A1,FORM: 'MY BEST FRIEND',Can use the irregular superlative adjective 'best' in the phrase 'my best friend'.,"She's my best friend.
Shahin is my best friend.
My best friend is very kind.
My best friend loves to travel.
My best friend is always there for me.
My best friend is the funniest person I know.
My best friend is the smartest person I know.
My best friend is the most generous person I know.
My best friend is the most loyal person I know.
My best friend is the most understanding person I know."
ADJECTIVES,superlatives,A2,FORM/USE: COMPLEX NOUN PHRASES,"Can form a limited range of complex noun phrases with a superlative adjective  + prepositional phrase, to talk about something unique.► noun phrases ►  clauses: comparison","The most beautiful sunset I have ever seen was in Bali.
She is the tallest girl in her class.
This is the most delicious cake I've ever tasted.
He is the fastest runner on the team.
The oldest tree in the park is over 500 years old.
This is the most interesting book I've read this year.
She is the smartest student in the whole school.
This is the smallest apartment I've ever lived in."
ADJECTIVES,superlatives,A2,FORM/USE: WITH 'IN' + NOUN,Can use prepositional phrases with 'in' + singular name of a place after a superlative adjective.,"It's the oldest building in the village.
She is the tallest girl in the class.
This is the smallest car in the showroom.
It's the best restaurant in the town.
He is the fastest runner in the school.
This is the most beautiful garden in the park.
It's the quietest place in the library.
She is the smartest student in the university.
This is the largest mall in the city.
He is the strongest man in the gym."
ADJECTIVES,superlatives,A2,FORM/USE: WITH 'OF' + NOUN,"Can use a limited range of prepositional phrases with 'of' after a superlative adjective, to refer to one thing within a set or part of a set.","The best movie of the festival was a real surprise.
She was the best player of the team.
This is the best restaurant of the town.
The best song of the album is very popular.
He is the best friend of all my friends.
The best dessert of the menu is the chocolate cake.
This is the best book of the series.
She is the best singer of the group.
The best part of the story is the ending.
This is the best picture of the collection."
