SuperCategory,SubCategory,Level,guideword,Can-do statement,Example
ADJECTIVES,comparatives,B1,FORM/USE: WITH 'AND',"Can use 'and' to repeat a comparative adjective to indicate change over time, usually after 'become' or 'get'.  ► adjectives: comparatives","I saw everything become smaller and smaller.
I think that's a good question, because nowadays television is getting worse and worse, but there are still some good programmes.
Summer is coming. Days become longer and longer."
ADJECTIVES,comparatives,B1,FORM/USE: WITH 'EVEN',"Can use 'even' to modify and intensify comparative adjectives used predicatively after a verb, usually 'be' and 'get'.","I'm sure you've seen part one already, but part two was even better!
As I finished, my smile got even bigger.
I think that it is awful, because that means that in Spain it will be even hotter than it is now."
ADJECTIVES,comparatives,B2,FORM/USE: WITH 'A LOT' ,"Can use 'a lot' to modify and intensify comparative adjectives used predicatively after a verb, usually 'be'. ","In addition, remember that a bike, even a good one, is a lot cheaper than a car.
Don't you think it would be a lot easier for you to finish college first?"
ADJECTIVES,comparatives,B2,FORM/USE: WITH 'MUCH' + NOUN,Can use 'much' to modify and intensify comparative adjectives used attributively before countable and uncountable nouns. ,"Although it is a second-hand computer which one of my colleagues sold me, it is a much better investment than the bicycle, I think.
I think the Majestic Hotel is too expensive, so what about a much cheaper hotel like the Plaza Hotel?
On the other hand, our grandparents had much fresher vegetables and meat they could trust, without BSE..."
ADJECTIVES,comparatives,B2,FORM/USE: WITH 'SLIGHTLY',Can use 'slightly' to modify comparative adjectives to a small degree.,"I bought a new one, since the price of a second-hand one was slightly cheaper.
They have their own characteristics, but the food of restaurant A is slightly better than that of B."
ADJECTIVES,comparatives,C2,FORM/USE: WITH 'NO' OR 'NOT ANY' ,Can use 'no' / 'not any' with comparative adjectives to limit the scale of comparison. ► comparative clauses,"That is why we are not any happier than you were.
I will probably find the water to be no higher than my thighs."
ADJECTIVES,comparatives,C2,FORM/USE: WITH 'NOT THAT MUCH',Can use 'not that much' to modify comparative adjectives to a small degree. ► comparative clauses,"Although she is not that much older than I am, one could think there were quite a few years between us."
ADJECTIVES,modifying,A1,FORM: WITH 'VERY' ,Can use 'very' with a limited range of common gradable adjectives. ,"I like Croydon because it's very quiet and very nice.
My neighbours are very friendly."
ADJECTIVES,modifying,A2,FORM: WITH DEGREE ADVERBS,"Can use adverbs of degree ('really', 'so', 'quite') with an increasing range of common gradable adjectives.","It was sunny and really hot every day!
I'm so happy because we can have a party for my birthday together!
They are quite expensive."
ADJECTIVES,modifying,A2,FORM: WITH PREPOSITIONAL PHRASE,Can form adjective phrases with a very limited range of adjectives + a prepositional phrase. ,"I think swimming is good for my body.
The house was full of people, my family and friends."
ADJECTIVES,modifying,A2,FORM: WITH 'TOO',Can use 'too' with common gradable adjectives. ,"They aren't too expensive. They cost like £30.
I bought a jacket because the other one that I had was too small."
ADJECTIVES,modifying,A2,FORM: WITH 'TOO' + PREPOSITIONAL PHRASE,Can use 'too' + adjective + prepositional phrase,I bought them because I noticed that most of my clothes were too small for me.
ADJECTIVES,modifying,B1,FORM: ADJECTIVE PHRASE + NOUN,"Can use adjective phrases attributively, before a noun."," my boss told me that at 10.15 am I have a very important meeting.
 she's also a really good friend."
ADJECTIVES,modifying,B1,FORM: WITH 'ENOUGH' ,Can use 'enough' to modify adjectives. ,"My room is big enough, there is a lot of space, and for this reason I will buy a stereo.
I thought they had the same problem as me: we don't think our English is good enough."
ADJECTIVES,modifying,B1,FORM: WITH 'QUITE A',Can form adjective phrases with 'quite a' + adjective.,"I been thinking about your last letter for quite a long time and I came to the following conclusion.
This is quite a difficult situation you have.
I personally think going to a large school is quite a good idea."
ADJECTIVES,modifying,B1,FORM: WITH 'TOO' + 'TO'-INFINITIVE ,Can use 'too' before adjectives followed by 'to'-infinitive.,"He always told me that he was too busy to write a letter to me, his wife.
We took two days to mend it, but the machine is too old to work well."
ADJECTIVES,modifying,B2,FORM: WITH 'ENOUGH' + 'TO'-INFINITIVE ,Can use 'enough' after adjectives followed by 'to'-infinitive ,"I was lucky enough to take part in it last November, and I enjoyed it immensely.
In my opinion young people at that age are not mature enough to decide by themselves what they want for their future."
ADJECTIVES,modifying,B2,FORM: WITH 'RATHER A' ,"Can form adjective phrases with 'rather a' + adjective, often in formal contexts. ","Films tend to be rather a simple art, while books are a thing to be enjoyed in a calmer way.
I must confess that I'm rather a poor player.
I live rather a long way from work, about 10 km."
ADJECTIVES,modifying,C1,FORM: WITH EXTREME ADVERBS,"Can modify gradable adjectives with extreme adverbs of degree ('absolutely', 'extremely', 'incredibly', 'totally') to intensify their meaning. ","I am absolutely sure that it will attract even more attention.
Nowadays, it is extremely difficult to imagine how workers lived ten years ago, especially because of the incredibly fast evolution in technology.
I would make a totally new programme, in which the following points must be improved: "
ADJECTIVES,modifying,C2,FORM: COMPARISON ,Can use adjectives in 'as … as' and 'so … that' in comparative structures. ► comparative clauses,"Because our debates do not draw as large a number of students as the guest appearances, but are still enjoyed by a relevant number of students, we propose a change of focus for the events.
It was such a riddle that I went and saw my psycho-analyst, who revealed to me that I once had so strong a shock that I was now walking and hiding my money in my sleep."
ADJECTIVES,position,A1,FORM: ATTRIBUTIVE (WITH NOUNS),"Can use a limited range of adjectives attributively, before a noun. ► noun phrases","We have a big garden and a small swimming pool.
My name is Bogdan. I am your new neighbour.
I like my home because I have a nice park next to my house."
ADJECTIVES,position,A1,"FORM: PREDICATIVE, WITH 'BE'","Can use a limited range of adjectives predicatively, after 'be'.","I like my home because my bedroom is big.
This place is lovely.
My kitchen is nice.
This place is beautiful."
ADJECTIVES,position,A2,FORM/USE: LIMITING ADJECTIVES,"Can use a limited range of adjectives ('main', 'only') that limit the noun that they go before.","the main reason is that I am practising the language.
But the only thing that I didn't like was the weather."
ADJECTIVES,position,A2,"FORM: PREDICATIVE, WITH 'BE'","Can use an increasing range of adjectives predicatively, after 'be'.","Yes, I am free Monday morning.
I love her because she is friendly."
ADJECTIVES,position,A2,"FORM: PREDICATIVE, WITH LINKING VERBS","Can use a limited range of adjectives predicatively, after linking verbs 'look' and 'feel'.","It is black and it looks perfect.
I bought them because I feel comfortable when I am wearing these clothes."
ADJECTIVES,position,B1,FORM: ADJECTIVES WITH PREFIX 'A-',"Can use adjectives with the prefix a- ('asleep', 'awake', 'alive', 'alone') predicatively only, after linking verbs. ","I was very nervious because I was  alone at the bus station 
On that night while I was watching TV, I was almost  asleep , the door bell rang.
We went in the room and I was very happy that my father was still  alive."
ADJECTIVES,position,B1,FORM: ATTRIBUTIVE (WITH NOUNS),"Can use an increasing range of adjectives attributively, before a noun.
► noun phrases","The main character in the programme is a journalist who is visiting the town.
Dear Fiona, I see you are in a complicated situation, aren't you?
The first of them had long dark hair and the second one had short fair curly hair.
In the evening, we used to go to a famous restaurant where you can eat delicious local food.
I decided to see the Zorro's Mask because it's an amusing and entertaining action film and love-story."
ADJECTIVES,position,B1,FORM: WITH 'MAKE' AS OBJECT COMPLEMENT,Can use adjectives as object complement after 'make'.,"That's something that makes me angry!
 you should tell them that you don't want to make them sad but you really want to go on holiday with your friends.
Maria realised that being kind and trying to make other people happy is always the best way!"
ADJECTIVES,position,B1,FORM: WITH PRONOUN,"Can use an adjective or adjective phrase after pronouns like 'something', 'nothing', 'somewhere', 'nowhere'.","I like cooking and I want to cook something special.
But something terrible happened next; I was so nervous that I stopped breathing!
There is nothing interesting on TV, nothing for teenagers."
ADJECTIVES,position,B2,FORM/USE: DEGREE ADJECTIVES BEFORE NOUNS,"Can use a limited range of degree adjectives ('real', 'absolute', 'complete') before a noun to express intensity.","When tourists arrive, there is no area to park. This is a real problem and our town is becoming very dangerous for children; every week there is an accident.
Making friends is easy but to get a real, true friend is hard.
Suddenly the lights went out and I found myself standing in  complete darkness.
After the teacher had told us to start, there was absolute silence."
ADJECTIVES,position,B2,"FORM: ATTRIBUTIVE ONLY, TIME ADJECTIVES","Can use the adjectives 'present', 'future', 'former' before a noun.","I think we all are very concerned about the present situation.
We would like to hear you talk about your novels, your work in general and about your future plans.
In the big hall, in former times, lots of parties took place."
ADJECTIVES,position,C1,FORM: PAST PARTICPLE AS ADJECTIVE,"Can use the '–ed' form of a verb as an adjective, after a noun.","First of all, I would recommend providing a wider range of films and introducing discussions after each film shown.
It is believed that if some improvements are made, the club will live up to the high standards required ."
ADJECTIVES,position,C2,FORM/USE: DEGREE ADJECTIVES BEFORE NOUNS,Can use an increasing range of adjectives before a noun to express intensity.,"As a conclusion, I shall say that the major problem concerns the exam.
It is located in the very centre of Pisa, in a magnificent ancient building."
ADJECTIVES,superlatives,A1,FORM: 'MY BEST FRIEND',Can use the irregular superlative adjective 'best' in the phrase 'my best friend'.,"She's my best friend.
Shahin is my best friend."
ADJECTIVES,superlatives,A2,FORM/USE: COMPLEX NOUN PHRASES,"Can form a limited range of complex noun phrases with a superlative adjective  + prepositional phrase, to talk about something unique.► noun phrases ►  clauses: comparison","It is the biggest zoo in the world.
They were the happiest days of my life."
ADJECTIVES,superlatives,A2,FORM/USE: WITH 'IN' + NOUN,Can use prepositional phrases with 'in' + singular name of a place after a superlative adjective.,"It's the biggest room in the house.
I bought them because they are the cheapest clothes in the shop."
ADJECTIVES,superlatives,A2,FORM/USE: WITH 'OF' + NOUN,"Can use a limited range of prepositional phrases with 'of' after a superlative adjective, to refer to one thing within a set or part of a set.","My teacher said that it was the best project of all.
I learned to surf, this was the best part of the trip.
Hi, Ally. You will miss the best party of the year!"
ADJECTIVES,superlatives,A2,"FORM: ELLIPSIS, WITH 'THE'","Can use 'the' with a limited range of superlative adjectives without a following noun, when the noun is understood.","My relatives gave me presents but the computer game was the best.
But Mark's present was the most beautiful!"
ADJECTIVES,superlatives,A2,FORM: WITH '-EST',"Can form superlative adjectives with adjectives of one syllable with a short vowel, by doubling the final consonant and adding '–est'."," it's the biggest and oldest museum in Libya.
It's the biggest room in the house."
ADJECTIVES,superlatives,A2,FORM: WITH '-EST' ,"Can form superlative adjectives by adding the suffix '-est', to adjectives of one syllable."," it's the biggest and oldest museum in Libya.
It was the cheapest in this shop!"
ADJECTIVES,superlatives,A2,FORM: WITH '-EST' ,"Can form superlative adjectives using the '-est' suffix, with adjectives of one syllable, and with two-syllable adjectives ending in -y.","The easiest way to get my house is by Underground.
 you are the funniest person that I have ever seen!"
ADJECTIVES,superlatives,A2,FORM: WITH 'MY' OR 'YOUR',"Can form a noun phrase with 'my' or 'your' + superlative adjective + noun, with a limited range of nouns and contexts. ► noun phrases","I bought these clothes for my youngest brother ....
Please wear your oldest clothes."
ADJECTIVES,superlatives,A2,FORM: WITH '-ST' ,Can form superlative adjectives using the suffix '-st' to adjectives ending in '–e'.,"I always watch the latest music videos from there.
I like it because it's the largest.
But the nicest thing at my party was my presents."
ADJECTIVES,superlatives,A2,FORM: WITH 'THE',Can form a noun phrase with 'the' + superlative adjective + noun. ► noun phrases,"It has the latest technology.
The best place is La Baule, which is Europe's biggest beach."
ADJECTIVES,superlatives,A2,FORM: WITH 'THE MOST',"Can form superlative adjective phrases using 'the most', with longer adjectives of two or more syllables. ","We love football competitions because here in Uruguay football is the most popular sport.
It is the most famous place in Edinburgh and it is interesting too.
The problem was that it was the most expensive mobile in the shop."
ADJECTIVES,superlatives,B1,FORM/USE: COMPLEX NOUN PHRASES,"Can form an increasing range of complex noun phrases with a superlative adjective + prepositional phrase, to talk about something unique. ► noun phrases","Yesterday was the most exciting day of my life!
Well, exercise is undoubtedly the most important thing in our lives for our health."
ADJECTIVES,superlatives,B1,FORM/USE: 'THE BEST' WITH NOUN AND PRESENT PERFECT,Can use 'the best' before a noun + present perfect to talk about a unique experience.,"It was the best birthday present I have ever had.
That is the best game I've ever played."
ADJECTIVES,superlatives,B1,FORM: 'ONE OF THE' ,"Can use 'one of the' before a superlative adjective, followed by a plural noun. ► noun phrases","It was one of the best days of my life.
I recommend that you should go to Akihabara, which is one of the most famous places in Tokyo."
ADJECTIVES,superlatives,B1,FORM: 'THE BEST' WITH NOUN AND  'TO-' INFINITIVE,Can use 'the best' before a noun + 'to'-infinitive.  ► clauses: comparative,"Summer is the best time to visit Poland.
I'm sorry but I'm afraid that I'm not the best person to ask about TV, because I'm up to my eyes at work and I don't have any time to spend watching TV."
ADJECTIVES,superlatives,B1,FORM: WITH DETERMINERS,Can form noun phrases with a range of determiners before a superlative adjective. ► noun phrases,"There, people wear their best clothes.
Tomorrow I'm expecting a delivery of our latest catalogues."
ADJECTIVES,superlatives,B2,FORM/USE: WITH 'BY FAR',Can use the premodifer 'by far' to make a superlative adjective stronger.,"As you know, I've already visited almost fifty forests all over the world but I think this one is by far the most beautiful of all.
When I was a child, Christmas morning was by far the most exciting and happiest moment."
ADJECTIVES,superlatives,B2,"FORM: ELLIPSIS, WITH 'THE'","Can use '(one of) the' with an increasing range of superlative adjectives without a following noun, when the noun is understood.","There have been so many embarrassing moments in my life. It's very difficult to pick the most embarrassing.
I'm not quite sure if I agree that the car is the greatest danger to human life today, but it sure is one of the greatest.
That period of my life was one of the worst ."
ADJECTIVES,superlatives,B2,FORM: WITH NOUN AND 'TO-' INFINITIVE,Can use superlative adjectives before a noun + 'to'-infinitive. ► clauses: comparative,"To be honest, I think that, to be in competition with other markets, we need to be updated and the easiest way to do it is to use computers.
For those people who don't work and can't afford a car, a bicycle is perhaps the cheapest way to travel in the city."
ADJECTIVES,superlatives,C1,FORM/USE: WITH NOUN AND POSTMODFIER,Can use a postmodifier to make the superlative stronger in the structure superlative + postmodifier + noun. ,"What is more, in order to increase sales of the new model to the highest possible level, the possibility of entering the Asian markets should be considered.
I am fond of the idea of working in Central London. It absolutely is the best possible location , I cannot deny that.
It is not the shortest possible route, but the easiest for people with luggage."
ADJECTIVES,superlatives,C1,FORM/USE: WITH POSTMODFIER AND NOUN,"Can use a postmodifier to make the superlative stronger, in the structure superlative + noun + postmodifier ('possible', 'ever', 'by far'). "," we want to present ourselves in the best way possible.
this cleansing gel will definitely produce good results in the shortest time possible.
Achieving health by using her common sense and having fun while doing it is probably her greatest performance ever and, if elected, she could share that with the world."
ADJECTIVES,superlatives,C2,"FORM/USE: 'SLIGHTEST', 'FAINTEST'","Can use 'the slightest', 'the faintest' with a specific range of nouns to express the least amount possible, most frequently following a negative verb form.","I should not end my relationship with Alex by phone, without giving him the slightest explanation.
They act as consumers, nothing more, and never show the slightest interest in learning and sharing opinions with the locals.
I haven't the faintest idea."
ADVERBS,adverbs as modifiers,A1,USE: TIME,"Can use 'soon' in the phrases 'See you soon' and 'Get well soon', as a signing-off device. ","Take care. See you soon.
Get well soon."
ADVERBS,adverbs as modifiers,A1,USE: PLACE,"Can use a limited range of adverbs ('here', 'there') to indicate place. ","My girlfriend is here with me.
I was born there and I lived there over twenty years.
I go there every year with my friends."
ADVERBS,adverbs as modifiers,A1,USE: FREQUENCY ,"Can use a limited range of adverbs ('always', 'sometimes') to talk about frequency.","I like Dorchester's people, they are always very friendly and polite.
I always see Safora because she lives near my home.
Sometimes I go to the beach."
ADVERBS,adverbs as modifiers,A1,USE: 'VERY' WITH ADJECTIVES,Can use 'very' to make adjectives stronger.,"He's a very good man.
I'm very happy in my home."
ADVERBS,adverbs as modifiers,A1,USE: DEGREE WITH VERBS ,"Can use 'really' and 'very much' with verbs expressing preference ('like', 'love'), for emphasis.","I really like theatre and a classical music.
I really love my space!
I like my garden very much."
ADVERBS,adverbs as modifiers,A2,USE: TIME,"Can use a limited range of adverbs ('yesterday', 'just', 'now', 'already',) to refer to the timing of an event. ","Yesterday I went shopping.
I've just seen your mail.
I am working very hard now because I want to earn some money.
I've already seen it."
ADVERBS,adverbs as modifiers,A2,USE: FREQUENCY ,"Can use an increasing range of adverbs ('usually', 'often', 'never', 'weekly') to talk about frequency.","People usually try to eat their breakfast between 7 and 9 am.
I have to pay weekly or monthly?
I often go to the Shanghai Museum.
You never remember anything!"
ADVERBS,adverbs as modifiers,A2,"USE: DEGREE, WITH ADJECTIVES","Can use a limited range of degree adverbs ('so', 'quite', 'too') to modify adjectives. ","I went to Vinpearland. It's so beautiful.
It was quite expensive, it cost £100.
The weather was too hot."
ADVERBS,adverbs as modifiers,A2,USE: DEGREE WITH VERBS,"Can use a limited range of adverbs and adverb phrases ('so much', 'a lot') with verbs to indicate degree or intensity. ► determiners","I am looking forward to seeing you so much!
We listened to music and we danced a lot too."
ADVERBS,adverbs as modifiers,A2,USE: MANNER,Can use a limited range of manner adverbs and adverb phrases to modify how something happens.," both the players played well.
You must go straight, then turn left.
Some of them can swim very fast.
It's very colourfull, and it goes very quickly."
ADVERBS,adverbs as modifiers,A2,USE: LINKING,"Can use a limited range of adverbs ('also', 'so', 'however') to show a relationship between two clauses or sentences. ","I also bought some t-shirts.
I don't like green, so I decided to use blue, could you help me to paint my room?
Yesterday I bought some clothes: trousers and skirts  However, the clothes were cheap."
ADVERBS,adverbs as modifiers,A2,USE: FOCUS,"Can use a limited range of adverbs ('only', 'just') to focus on or point to something.","It's only two hours.
It was only €70. It is pink. it looks very nice.
It was just £15."
ADVERBS,adverbs as modifiers,A2,USE: SEQUENCING,"Can use a limited range of adverbs and adverb phrases ('first', 'then', 'after that') to order segments of discourse.","First we had a dinner in a very expensive restaurant, then we went to a disco.
We can meet at 6 pm at my house, and then we can get to the sports centre by bus.
First, we played housie and blind man's bluff. After that a magician showed us a lot of magic tricks."
ADVERBS,adverbs as modifiers,A2,USE: CERTAINTY,"Can use a limited range of adverbs ('maybe', 'perhaps') to indicate degrees of certainty. ","Or maybe we can walk to there, because it's not far from my house.
Perhaps I left it in your living room."
ADVERBS,adverbs as modifiers,A2,USE: STANCE,"Can use a limited range of adverbs ('actually', 'unfortunately', 'of course', 'I’m sorry') to indicate an attitude or viewpoint. ","It's very nice that you're going to help me to paint my bedroom. Actually I want you to decide what colour that my room should be.
Unfortunately, my team lost.
It costs €450 and of course it is black. You know black is my favorite color.
I'm sorry you can't find it."
ADVERBS,adverbs as modifiers,B1,USE: TIME,Can use an increasing range of adverbs to refer to the timing of an event. ,"Dear Kate, I went to the cinema with a new friend recently.
I immediately called her to see if everything was O.K."
ADVERBS,adverbs as modifiers,B1,USE: PLACE,"Can use an increasing range of adverbs and adverb phrases ('near', 'far away', 'upstairs', 'downstairs') to indicate place. ","You can't go far away because I don't think your parents want to pay for it.
He went downstairs.
After the film we went to a shop nearby for lunch and after that we went to a park and played all sorts of games."
ADVERBS,adverbs as modifiers,B1,USE: DEGREE WITH VERBS,"Can use an increasing range of degree adverbs ('a little', 'a bit') with verbs to indicate degree or intensity. ► determiners","When I came to England, one year ago, I didn't know any English word, now I'm very happy because I don't speak very well but I can understand and speak a little.
I suggest you to take a little break of about one minute between hours and walk to relax a bit.
I go to bed and I read just a little bit."
ADVERBS,adverbs as modifiers,B1,"USE: DEGREE, 'REALLY REALLY'",Can use 'really really' with verbs and adjectives for emphasis. ,"Oh, I really really like her very friendly and lovely smile.
I am not keen on football so, I think it is really really borring."
ADVERBS,adverbs as modifiers,B1,USE: MANNER,Can use an increasing range of manner adverbs and adverb phrases to modify how something happens.,"They are like my sisters. We go everywhere together.
You are a sweet and caring guy and wherever you'll go, you'll fit in easily!
Of course you have to eat carefully.
Then I took a knife and opened it very carfully and slowly like there was something breakable in it."
ADVERBS,adverbs as modifiers,B1,USE: LINKING,"Can use an increasing range of adverbs ('therefore', 'furthermore', 'otherwise') to show a relationship between two clauses or sentences. ","You don't like city's with a lot of people. Therefore I suggest you go to a small school in the countryside, near your new home.
I decided to join these classes because I have to improve my reading, writing and speaking in English. Furthermore I want to write my thesis in an English-speaking country next year. .
Please let me know if you can collect it otherwise I will ask my other Turkish friend."
ADVERBS,adverbs as modifiers,B1,USE: FOCUS,"Can use an increasing range of focusing adverbs ('particularly', 'especially') to point to or highlight something. ► adverbs: position ","I usually read in my free time but particularly in the evenings before I go to the bed.
As you know I love dolphins and all programmes about Nature and Wild life, especially the Discovery Channel."
ADVERBS,adverbs as modifiers,B1,USE: ORGANISING ,Can use adverbs as discourse markers to organise text.  ►  adverbs: position ►  Discourse markers,"Firstly, I advise you to visit both schools.
Firstly, we need a good expert to run the course.
Secondly, good materials are needed.
What's more, this topic is very useful, it could offer so many professional suggestions . Finally , in my opinion, this topic is very interesting.
My boss' talk will be about the advantages and drawbacks which overseas sells bring  . Actually , he is very interested in this subject because our company is trying to expand and sell abroad."
ADVERBS,adverbs as modifiers,B1,USE: CERTAINTY,Can use an increasing range of adverbs to indicate degrees of certainty. ,"And it will probably be on TV next month!
If I were you I'd certainly choose not to go with your parents.
I will definitely give you the bicycle by 5.30 pm or latest by 5.45 pm."
ADVERBS,adverbs as modifiers,B1,USE: STANCE,"Can use an increasing range of adverbs ('completely', 'obviously', 'clearly', 'actually', 'luckily', 'honestly', 'sadly', 'basically', 'obviously', 'hopefully') to indicate an attitude or viewpoint.","I am completely sure.
It's obviously much more fun to go on vacation with your friends, but your parents will be sad and worry about you all the time you're gone.
I am clearly a fashion victim and it's not a fault.
Actually she's my best friend I met her this year when the school started.
Luckily my cousin is now recovering of his illness and all my family is really happy.
I don't watch a lot of TV, sadly I don't have time.
Surely it depends where your family goes, and where you are going to go with your friends!"
ADVERBS,adverbs as modifiers,B2,USE: TIME,Can use a wide range of adverbs and adverb phrases to refer to the timing of an event. ,"I look forward hearing from you shortly and I thank you in advance.
It sounded like a muffled laugh, and she instantly recognised it as her mother's.
It isn't the job you will do permanently .
You know it's very difficult to decide what to buy if you need both things simultaneously.
The trend that has appeared rather recently and is very common among young people nowadays is named casual chique."
ADVERBS,adverbs as modifiers,B2,USE: MANNER,Can use a wide range of manner adverbs to modify how something happpens.,"She realises that he is a very dangerous man and that she should take his warning seriously.
Today I read the notice Volunteers needed urgently  and I would like to be one.
As our parking space has been used illegally by the public, we will change our parking system."
